Word,Count
to,52
Create,43
the,38
*,28
Request,28
TODO,26
Auto-generated,26
it,25
Send,23
--------------------,23
Load,22
send,22
update,21
token,21
\context,\,21
file,21
status,21
\Type,\,20
requestAutomatic,20
\source,\,20
\confidential,\,20
Id,20
\Method,\,20
\Target,\,20
config,19
value,18
Data,18
data,17
stub,16
method,14
Start,13
=,13
Response,12
and,12
UI,12
catch,12
@param,10
a,10
block,10
response,10
default,9
properties,8
Update,8
received,8
controller,8
of,8
name,8
new,8
Extension,8
server,7
request,7
if,7
return,7
********************,6
not,6
Check,6
,6
Notify,5
Notif,5
For,5
Mark,5
we,5
@return,5
timer,5
specific,5
---------------------------,4
Process,4
\Notif,\,4
state,4
Place-holder,4
\found,\,4
Find,4
-----,4
as,4
{,4
Interaction,4
register,4
Manager,4
start,4
\name,\,4
property,4
--------,4
def,4
message,4
-------------,4
\Notification,\,4
---,4
interactionManager---------,4
socket,4
---------,4
change,3
less,3
than,3
pull,3
Not,3
Inform,3
add,3
one,3
----------------------------,3
states,3
No,3
yet,3
related,3
in,3
Message,3
event,3
constructor,3
object,3
check,3
more,3
null;,3
second,3
for,3
},3
Resume,2
ctx,2
number,2
printWriter,2
normalized,2
upper,2
process,2
variable,2
e.printStackTrace();,2
Non-normalized,2
server-----------------,2
have,2
attributes,2
sent,2
on,2
lower,2
sleep,2
Algorithme,2
info,2
GUI,2
informations,2
-----------------,2
\"\\,2
inform,2
sending,2
---------------,2
prepare,2
\string,\,2
random,2
implemented,2
Get,2
\data,\,2
then,2
------------------------------,2
//,2
load,2
NewCtxRequest,2
need,2
If,2
optional,2
eventListener,2
bufferedReader,2
based,2
e),2
Request---------------------------,2
save,2
Normalize,2
another,2
HAS_CONTEXT,1
(IOException,1
socket.close();,1
try,1
requestAutomaticUpdate,1
printWriter.close();,1
Hanshaking,1
out,1
inReader,1
base,1
null);,1
\"\Connected\,1
handle,1
Log,1
\socket,\,1
happened,1
current,1
Assign,1
socket.getOutputStream();,1
it--------------,1
-,1
(source),1
Hard-coding:,1
Prepare,1
system,1
an,1
\purpose,\,1
Remove,1
Variables,1
\not,\,1
fire,1
(if,1
dispatcher,1
******,1
Notification,1
Logging,1
reader,1
\Ok,\,1
had,1
socket.getInputStream();,1
socket.getRemoteSocketAddress());,1
exception,1
\Response,\,1
this.hostName,1
already,1
lines,1
be,1
Register,1
\elapsed,\,1
attach,1
into,1
cofiguration,1
--------------------------------,1
metadata,1
periodic,1
Init,1
valid,1
should,1
\Socket(hostName,\,1
session,1
Found,1
\Else,\,1
api,1
ArrayList<SocketEventListener>();,1
saving,1
bufferedReader.close();,1
\mode,\,1
:,1
State-related,1
Pause,1
any),1
+,1
wrong,1
(UnknownHostException,1
isStopped,1
schedule,1
Go,1
*****,1
-------------------------------,1
InputStreamReader(in);,1
declaration,1
Replace,1
\"\+\,1
but,1
override,1
context!!,1
manager,1
Request-------------------------,1
string,1
\ok,\,1
contains,1
boolean,1
port);,1
hashmap,1
Parse,1
stated,1
decode,1
SendNewCtxRequest,1
\message,\,1
json,1
immediately,1
integer,1
terminator,1
---------------------,1
Read,1
InputStream,1
type,1
End,1
long,1
System.exit(1);,1
port;,1
step,1
instead,1
won't,1
Sub,1
comment,1
component,1
Connect,1
put,1
or,1
cookieReader,1
\event,\,1
Specific,1
true);,1
Begin,1
requestId,1
\fireEvent(SocketEvent.ON_CONNECTING,\,1
we've,1
before,1
this.port,1
it's,1
\else,\,1
Interval,1
Polling,1
server----------------,1
After,1
next,1
Cancel,1
context,1
by,1
\log("\[SocketManager]\,1
cookie,1
still,1
is,1
you,1
Event,1
hostName;,1
Listen,1
Save,1
InputStreamReader,1
errors,1
params,1
BufferedReader(inReader);,1
all,1
\PauseResponse,\,1
Parsing,1
New,1
server---------------,1
that,1
Is,1
\StartResponse,\,1
Don't,1
------------------,1
\PrintWriter(out,\,1
@Todo,1
interval,1
-------------------,1
these,1
testing,1
cache,1
saved,1
',1
\time,\,1
purpose,1
listeners,1
between,1
listener,1
OutputStream,1
Processing,1
HashMap,1
caller,1
exclude,1
let's,1
haven't,1
Something,1
false;,1
\ResumeResponse,\,1
In,1
space,1
Timer,1
notify,1
General,1
Context,1
use,1
two,1
class,1
This,1
dead,1
-------------------------,1
mode,1
first,1
TODO:,1
Normalized,1
