File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\soa2m-components\lib\java\architecture\CCFactory.java,13,10,6,2,3,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\ComplexMc.java,17,13,9,1,4,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\Controller.java,1000,639,501,17,201,4,160,618,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\DataComponent.java,133,104,77,12,20,0,9,48,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\DCFactory.java,8,6,4,1,2,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\InteractionEvent.java,58,42,34,2,15,0,1,4,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\InteractionEventListener.java,6,4,3,0,2,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\InteractionManager.java,477,308,245,1,92,0,77,292,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\InteractionState.java,107,85,74,6,19,0,3,10,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\MCFactory.java,18,12,9,2,4,0,2,6,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\Parser.java,109,87,69,10,17,7,5,40,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\SocketEvent.java,28,18,14,1,9,0,1,4,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\SocketEventListener.java,8,6,5,0,2,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\SocketManager.java,191,113,91,6,36,0,42,121,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\StateManager.java,91,72,53,9,14,0,5,33,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\Timer.java,165,137,106,11,25,0,3,12,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\TimerEventListener.java,8,5,4,0,3,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\architecture\Validator.java,73,48,32,12,17,0,8,29,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\Exception.java,37,31,12,2,6,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\MessageBase.java,118,90,66,10,27,0,1,4,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\MessageRequest.java,30,23,17,2,7,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\MessageResponse.java,63,47,35,5,16,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\MessageType.java,26,21,8,1,5,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\Notification.java,43,31,23,3,12,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\Spec.java,230,173,129,21,51,4,6,16,0,0
C:\wamp\www\soa2m-components\lib\java\mmiLib\Status.java,21,16,8,1,5,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\utilities\ConfigurationReader.java,170,116,81,19,14,0,40,185,0,0
C:\wamp\www\soa2m-components\lib\java\utilities\Loggable.java,6,4,3,0,2,0,0,0,0,0
C:\wamp\www\soa2m-components\lib\java\xhrLib\MMDispatcher.java,167,118,88,17,33,0,16,27,0,0
C:\wamp\www\soa2m-components\lib\java\xhrLib\MMDispatcherEvent.java,29,20,15,1,8,0,1,4,0,0
C:\wamp\www\soa2m-components\lib\java\xhrLib\MMDispatcherEventListener.java,8,5,4,0,3,0,0,0,0,0
